,Fuzzy C-Means_hard,Fuzzy C-Means_R1_prob,Fuzzy C-Means_R2_prob,Fuzzy C-Means_R3_prob,Fuzzy C-Means_R4_prob,Modified K-Means_hard,Modified K-Means_R1_prob,Modified K-Means_R2_prob,Modified K-Means_R3_prob,Modified K-Means_R4_prob,Vanilla K-Means_hard,Vanilla K-Means_R1_prob,Vanilla K-Means_R2_prob,Vanilla K-Means_R3_prob,Vanilla K-Means_R4_prob,GMM_hard,GMM_R1_prob,GMM_R2_prob,GMM_R3_prob,GMM_R4_prob,Markov-Switching_hard,Markov-Switching_R1_prob,Markov-Switching_R2_prob,Markov-Switching_R3_prob,Markov-Switching_R4_prob
1996-06-01,1,0.24999997765409215,0.2500000167138893,0.25000000087868474,0.2500000047533338,2,0.020944045534290644,0.30983780348478207,0.39720420413814134,0.27201394684278596,2,0.24935565642773508,0.32116367901811815,0.407702412489325,0.02177825206482175,2,1.8797153591599414e-54,2.6505870056609835e-23,0.9446149995561559,0.05538500044385069,0,0.995106024415037,0.0009865262567405127,0.003907067008139679,3.823200829462238e-07
1996-07-01,1,0.24999999540683038,0.2500000034546061,0.2500000002028832,0.25000000093568026,2,0.024377667428827337,0.30781863155197536,0.3495968878468657,0.3182068131723317,2,0.2912659696164619,0.32351665112044475,0.36012790001669903,0.025089479246394413,2,1.4969647782509726e-59,3.723452317608029e-22,0.9999999999964331,3.5724503487441342e-12,0,0.992624647231812,0.0018823540532105817,0.00549211188118975,8.868337878242829e-07
1996-08-01,1,0.24999999418449914,0.2500000043402897,0.2500000002359529,0.2500000012392582,2,0.021651403033307277,0.32005507819122603,0.3661109203379367,0.2921825984375301,2,0.2688118152379384,0.33337778570087834,0.3754498962169504,0.02236050284423291,2,1.181322146652084e-55,6.692837093711275e-24,0.9999669009014994,3.309909850750833e-05,0,0.9944956879452065,0.0013464640286088086,0.004154907976114165,2.940050070619038e-06
1996-09-01,1,0.24999997249142844,0.25000002063196086,0.2500000012155304,0.2500000056610802,2,0.02067085857188425,0.303366728099972,0.4029267237609527,0.2730356895671911,2,0.23572999838115316,0.3252713028521248,0.4176160314484501,0.021382667318271945,2,2.0358044920317877e-58,2.0671702827624631e-23,0.9779123831904488,0.022087616809554914,0,0.9962847757697385,0.0007561303752973496,0.0029587214686333982,3.723863309983566e-07
1996-10-01,0,0.2500000073029815,0.24999999451417892,0.24999999969209655,0.249999998490743,2,0.02033773590094578,0.3211568352722835,0.34108419173679505,0.3174212370899756,2,0.29017482153493107,0.3353154688019584,0.3534838924618612,0.021025817201249238,2,9.194264044998273e-55,9.036904521894282e-17,0.9996929160997617,0.00030708390023236564,0,0.993287206826613,0.0022693387628930943,0.004441831469509203,1.6229409851930889e-06
1996-11-01,1,0.24999998483066,0.25000001136411204,0.2500000006325184,0.2500000031727094,2,0.023848393812176436,0.3112701986235691,0.3791548643210056,0.285726543243249,2,0.2635192930287662,0.32426589857117677,0.38756656188208355,0.024648246517973413,2,5.163490759871392e-53,1.2671695848643377e-22,0.9934208600180454,0.006579139981956837,0,0.996616824386286,0.0007607536765491456,0.002621568174970941,8.537621946048808e-07
1996-12-01,1,0.24999999093661504,0.2500000067717236,0.2500000003724073,0.250000001919254,2,0.02005814054207976,0.31682838899841625,0.3679963607475831,0.29511710971192096,2,0.2634639989157511,0.3327312405624581,0.38306629850038565,0.020738462021405144,2,7.342851703956551e-58,1.821654043475007e-22,0.9998040269140237,0.00019597308597472916,0,0.9960601808432945,0.0010223627767874137,0.0029170564691622255,3.999107561977023e-07
1997-01-01,1,0.24999999622187488,0.2500000028071936,0.25000000011010426,0.25000000086082724,2,0.020113779154851116,0.31615672942806367,0.35378444842325896,0.30994504299382625,2,0.2805122444127066,0.3275671185902314,0.37111271275560925,0.020807924241452766,2,2.790219377686612e-56,5.366108983222447e-18,0.9985124922536704,0.0014875077463342794,0,0.9955200508188322,0.0018919784395382776,0.0025841484211515907,3.8223204785017e-06
1997-02-01,1,0.24999998058232764,0.25000001453559284,0.2500000007847953,0.25000000409728435,2,0.024220339418430457,0.3114929438251474,0.38614659459855316,0.278140122157869,2,0.2571436734671327,0.32317508718954735,0.39467294034406397,0.025008298999255992,3,3.9954492515687546e-49,2.0657798539600456e-18,0.1976908013195984,0.8023091986803985,0,0.998443568340316,0.0007809773718716864,0.0007734936297866592,1.9606580263534776e-06
1997-03-01,1,0.24999997529783605,0.2500000184946229,0.25000000097608,0.25000000523146104,2,0.020984380226383787,0.3006552869700268,0.39643693295620536,0.281923399847384,2,0.2531814231785342,0.3148941199370317,0.4101866705400755,0.0217377863443585,3,2.0826293711948707e-57,1.5710273810727903e-24,0.00017131947730003323,0.9998286805226977,0,0.998393369939174,0.0004855118853069384,0.0011210520354530797,6.614006672605823e-08
1997-04-01,1,0.24999999463379532,0.2500000040175323,0.2500000002093824,0.25000000113928994,2,0.023798554660551596,0.3126183613919925,0.34990100977835703,0.3136820741690988,2,0.290324251358781,0.32535964829451175,0.3598681132824819,0.024447987064225227,2,1.8948825340485445e-54,3.06113586403671e-20,0.9999855393596061,1.4460640394113825e-05,0,0.9964485479013581,0.0011322054768156946,0.002419010445216653,2.3617661037306158e-07
1997-05-01,1,0.2499999961333892,0.2500000028872233,0.25000000015813373,0.25000000082125384,2,0.024655637799841444,0.31986896663769016,0.35399221496592675,0.30148318059654167,2,0.2797206469335945,0.3320742311886292,0.3628419172101873,0.025363204667588807,2,1.974830866027144e-54,6.027427305915992e-23,0.999937696661406,6.230333859353785e-05,0,0.9972029269297363,0.0007831120402918387,0.0020133688559719706,5.921740008907256e-07
1997-06-01,1,0.2499999928035654,0.250000005407651,0.2500000003411666,0.250000001447617,2,0.02298112087049247,0.31221178799949434,0.36011387636086706,0.30469321476914607,2,0.2745344091614615,0.3282278710514504,0.3735364978423229,0.023701221944765104,2,1.3505004066471839e-51,8.10831141096136e-17,0.7988891051872932,0.20111089481270178,0,0.9973489469404397,0.0009117411526370004,0.0017382693707874404,1.0425361365363044e-06
1997-07-01,1,0.24999998804475643,0.2500000089570363,0.2500000004785373,0.2500000025196699,2,0.022488315164573527,0.307661257147244,0.37166802039323366,0.29818240729494877,2,0.27214713258741935,0.32058371075208486,0.3840855541066813,0.023183602553814475,3,1.625671935770789e-53,2.2342770918298458e-20,0.0033177273783293265,0.9966822726216742,0,0.9981095408130147,0.0006845328177872221,0.0012051707841723336,7.555850263611384e-07
1997-08-01,1,0.24999998110662347,0.25000001416711665,0.2500000008230021,0.2500000039032576,2,0.023110783262649818,0.30764269018548346,0.38159713912433896,0.28764938742752777,2,0.25547082687105566,0.3257558028295313,0.394949398225161,0.023823972074251815,3,2.1555679358718942e-47,3.714469076248279e-19,0.0020058063497022075,0.9979941936502984,0,0.9978235503807362,0.0007818861288466884,0.0013940588901986241,5.046002190592534e-07
1997-09-01,1,0.24999997646037703,0.25000001767368285,0.2500000010001962,0.2500000048657438,2,0.020765967715238132,0.28987232120143586,0.3921129524329425,0.2972487586503835,2,0.2581544042928223,0.30813840910191886,0.41225913530682856,0.0214480512984302,3,5.799581046938778e-53,8.353507453758822e-24,9.537490045900846e-10,0.9999999990462527,0,0.997453533372839,0.0007001776063028237,0.001845978580722169,3.104401369485775e-07
1997-10-01,1,0.2499999815423156,0.2500000138362663,0.2500000007399221,0.2500000038814959,2,0.02328207125410521,0.2979826087430768,0.3832015583900708,0.29553376161274725,2,0.2716106458417562,0.3108614854667127,0.3934976327257904,0.02403023596574061,3,2.725737577914151e-55,1.8174367703789843e-26,5.210773510456842e-07,0.9999994789226542,0,0.9951882267128391,0.0007467567771472925,0.004064871516547332,1.4499346729527948e-07
1997-11-01,1,0.24999998292276365,0.2500000128036905,0.25000000067298633,0.25000000360055963,2,0.0259918972784754,0.29816924270526307,0.37513545858744823,0.3007034014288134,2,0.28039650730249155,0.30874038530205666,0.3841133383452601,0.026749769050191784,3,2.2530480777068678e-53,2.4092320253816945e-23,0.0001339534317937624,0.9998660465681999,0,0.9896988208462554,0.0006831195781480103,0.009618022437224056,3.7138373564822276e-08
1997-12-01,1,0.24999999620597546,0.25000000284943896,0.25000000013448087,0.2500000008101048,2,0.023413482932336797,0.30348006035450964,0.34688453875173114,0.32622191796142236,2,0.30126750777458194,0.31394382540556204,0.36068178071607376,0.02410688610378235,2,4.495199993389464e-56,2.283146678250747e-21,0.99999987199059,1.2800941435857825e-07,0,0.9676881985177579,0.0013555781232049797,0.030956106246073912,1.1711296449051741e-07
